Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    3.50511e-67    0.00000e+00    4.18855e-65    1.78758e-65    0.00000e+00    0.00000e+00
    1.05207e-06    2.56734e+16    0.00000e+00    8.04600e+18    8.04600e+18    8.04600e+18    0.00000e+00
    1.10685e-06    2.97836e+16    0.00000e+00    8.87475e+18    8.87475e+18    8.87475e+18    0.00000e+00
    1.16448e-06    3.45516e+16    0.00000e+00    9.78882e+18    9.78882e+18    9.78882e+18    0.00000e+00
    1.22511e-06    4.00829e+16    0.00000e+00    1.07970e+19    1.07970e+19    1.07970e+19    0.00000e+00
    1.28890e-06    4.65000e+16    0.00000e+00    1.19091e+19    1.19091e+19    1.19091e+19    0.00000e+00
    1.35602e-06    5.13160e+16    0.00000e+00    1.30054e+19    1.30054e+19    1.30054e+19    0.00000e+00
    1.42662e-06    6.13142e+16    0.00000e+00    1.43707e+19    1.43707e+19    1.43707e+19    0.00000e+00
    1.50090e-06    7.30134e+16    0.00000e+00    1.58770e+19    1.58770e+19    1.58770e+19    0.00000e+00
    1.57905e-06    8.64401e+16    0.00000e+00    1.75439e+19    1.75439e+19    1.75439e+19    0.00000e+00
    1.66127e-06    1.01353e+17    0.00000e+00    1.93794e+19    1.93794e+19    1.93794e+19    0.00000e+00
    1.74777e-06    1.17647e+17    0.00000e+00    2.14081e+19    2.14081e+19    2.14081e+19    0.00000e+00
    1.83878e-06    1.35279e+17    0.00000e+00    2.36483e+19    2.36483e+19    2.36483e+19    0.00000e+00
    1.93452e-06    1.54480e+17    0.00000e+00    2.61131e+19    2.61131e+19    2.61131e+19    0.00000e+00
    2.03525e-06    1.76161e+17    0.00000e+00    2.88427e+19    2.88427e+19    2.88427e+19    0.00000e+00
    2.14122e-06    2.01408e+17    0.00000e+00    3.18476e+19    3.18476e+19    3.18476e+19    0.00000e+00
    2.25271e-06    2.31794e+17    0.00000e+00    3.51581e+19    3.51581e+19    3.51581e+19    0.00000e+00
    2.37001e-06    2.69615e+17    0.00000e+00    3.88173e+19    3.88173e+19    3.88173e+19    0.00000e+00
    2.49341e-06    3.15885e+17    0.00000e+00    4.28399e+19    4.28399e+19    4.28399e+19    0.00000e+00
    2.62324e-06    3.72074e+17    0.00000e+00    4.72785e+19    4.72785e+19    4.72785e+19    0.00000e+00
    2.75983e-06    4.37504e+17    0.00000e+00    5.21710e+19    5.21710e+19    5.21710e+19    0.00000e+00
    2.90353e-06    5.10369e+17    0.00000e+00    5.75466e+19    5.75466e+19    5.75466e+19    0.00000e+00
    3.05471e-06    5.89733e+17    0.00000e+00    6.34879e+19    6.34879e+19    6.34879e+19    0.00000e+00
    3.21376e-06    6.76990e+17    0.00000e+00    7.00184e+19    7.00184e+19    7.00184e+19    0.00000e+00
    3.38110e-06    7.77502e+17    0.00000e+00    7.72007e+19    7.72007e+19    7.72007e+19    0.00000e+00
    3.55715e-06    9.00956e+17    0.00000e+00    8.51229e+19    8.51229e+19    8.51229e+19    0.00000e+00
    3.74237e-06    1.05163e+18    0.00000e+00    9.38162e+19    9.38162e+19    9.38162e+19    0.00000e+00
    3.93723e-06    1.23099e+18    0.00000e+00    1.03386e+20    1.03386e+20    1.03386e+20    0.00000e+00
    4.14223e-06    1.43123e+18    0.00000e+00    1.13911e+20    1.13911e+20    1.13911e+20    0.00000e+00
    4.35791e-06    1.64882e+18    0.00000e+00    1.25451e+20    1.25451e+20    1.25451e+20    0.00000e+00
    4.58482e-06    1.89818e+18    0.00000e+00    1.38170e+20    1.38170e+20    1.38170e+20    0.00000e+00
    4.82355e-06    2.20035e+18    0.00000e+00    1.52112e+20    1.52112e+20    1.52112e+20    0.00000e+00
    5.07471e-06    2.56543e+18    0.00000e+00    1.67400e+20    1.67400e+20    1.67400e+20    0.00000e+00
    5.33894e-06    2.97948e+18    0.00000e+00    1.84211e+20    1.84211e+20    1.84211e+20    0.00000e+00
    5.61693e-06    3.43192e+18    0.00000e+00    2.02609e+20    2.02609e+20    2.02609e+20    0.00000e+00
    5.90940e-06    3.96032e+18    0.00000e+00    2.22797e+20    2.22797e+20    2.22797e+20    0.00000e+00
    6.21709e-06    4.60408e+18    0.00000e+00    2.44917e+20    2.44917e+20    2.44917e+20    0.00000e+00
    6.54081e-06    5.33706e+18    0.00000e+00    2.69086e+20    2.69086e+20    2.69086e+20    0.00000e+00
    6.88138e-06    6.14744e+18    0.00000e+00    2.95612e+20    2.95612e+20    2.95612e+20    0.00000e+00
    7.23968e-06    7.10834e+18    0.00000e+00    3.24579e+20    3.24579e+20    3.24579e+20    0.00000e+00
    7.61664e-06    8.24430e+18    0.00000e+00    3.56210e+20    3.56210e+20    3.56210e+20    0.00000e+00
    8.01323e-06    9.50249e+18    0.00000e+00    3.90837e+20    3.90837e+20    3.90837e+20    0.00000e+00
    8.43047e-06    1.09696e+19    0.00000e+00    4.28556e+20    4.28556e+20    4.28556e+20    0.00000e+00
    8.86943e-06    1.26983e+19    0.00000e+00    4.69731e+20    4.69731e+20    4.69731e+20    0.00000e+00
    9.33125e-06    1.46234e+19    0.00000e+00    5.14631e+20    5.14631e+20    5.14631e+20    0.00000e+00
    9.81712e-06    1.68946e+19    0.00000e+00    5.63433e+20    5.63433e+20    5.63433e+20    0.00000e+00
    1.03283e-05    1.94752e+19    0.00000e+00    6.16673e+20    6.16673e+20    6.16673e+20    0.00000e+00
    1.08661e-05    2.24537e+19    0.00000e+00    6.74488e+20    6.74488e+20    6.74488e+20    0.00000e+00
    1.14318e-05    2.58750e+19    0.00000e+00    7.37240e+20    7.37240e+20    7.37240e+20    0.00000e+00
    1.20271e-05    2.98115e+19    0.00000e+00    8.05494e+20    8.05494e+20    8.05494e+20    0.00000e+00
    1.26533e-05    3.43202e+19    0.00000e+00    8.79380e+20    8.79380e+20    8.79380e+20    0.00000e+00
    1.33122e-05    3.95084e+19    0.00000e+00    9.59503e+20    9.59503e+20    9.59503e+20    0.00000e+00
    1.40053e-05    4.54274e+19    0.00000e+00    1.04625e+21    1.04625e+21    1.04625e+21    0.00000e+00
    1.47345e-05    5.22461e+19    0.00000e+00    1.13993e+21    1.13993e+21    1.13993e+21    0.00000e+00
    1.55018e-05    6.00229e+19    0.00000e+00    1.24134e+21    1.24134e+21    1.24134e+21    0.00000e+00
    1.63089e-05    6.89275e+19    0.00000e+00    1.35071e+21    1.35071e+21    1.35071e+21    0.00000e+00
    1.71581e-05    7.91183e+19    0.00000e+00    1.46856e+21    1.46856e+21    1.46856e+21    0.00000e+00
    1.80515e-05    9.07724e+19    0.00000e+00    1.59571e+21    1.59571e+21    1.59571e+21    0.00000e+00
    1.89914e-05    1.04016e+20    0.00000e+00    1.73237e+21    1.73237e+21    1.73237e+21    0.00000e+00
    1.99803e-05    1.19191e+20    0.00000e+00    1.87932e+21    1.87932e+21    1.87932e+21    0.00000e+00
