0 1 2 3 4 5
0 4 6 9 11 78
0 4 7 8 10 12
0 13 26 39 52 65
0 14 27 40 53 66
0 15 28 41 54 67
0 16 29 42 55 68
0 17 30 43 56 69
0 18 31 44 57 70
0 19 32 45 58 71
0 20 33 46 59 72
0 21 34 47 60 73
0 22 35 48 61 74
0 23 36 49 62 75
0 24 37 50 63 76
0 25 38 51 64 77
1 2 6 8 9 10
1 2 7 11 12 78
1 13 38 50 62 74
1 14 26 51 63 75
1 15 27 39 64 76
1 16 28 40 52 77
1 17 29 41 53 65
1 18 30 42 54 66
1 19 31 43 55 67
1 20 32 44 56 68
1 21 33 45 57 69
1 22 34 46 58 70
1 23 35 47 59 71
1 24 36 48 60 72
1 25 37 49 61 73
2 13 37 48 59 70
2 14 38 49 60 71
2 15 26 50 61 72
2 16 27 51 62 73
2 17 28 39 63 74
2 18 29 40 64 75
2 19 30 41 52 76
2 20 31 42 53 77
2 21 32 43 54 65
2 22 33 44 55 66
2 23 34 45 56 67
2 24 35 46 57 68
2 25 36 47 58 69
3 5 6 7 9 12
3 5 8 10 11 78
3 13 36 46 56 66
3 14 37 47 57 67
3 15 38 48 58 68
3 16 26 49 59 69
3 17 27 50 60 70
3 18 28 51 61 71
3 19 29 39 62 72
3 20 30 40 63 73
3 21 31 41 64 74
3 22 32 42 52 75
3 23 33 43 53 76
3 24 34 44 54 77
3 25 35 45 55 65
4 13 35 44 53 75
4 14 36 45 54 76
4 15 37 46 55 77
4 16 38 47 56 65
4 17 26 48 57 66
4 18 27 49 58 67
4 19 28 50 59 68
4 20 29 51 60 69
4 21 30 39 61 70
4 22 31 40 62 71
4 23 32 41 63 72
4 24 33 42 64 73
4 25 34 43 52 74
5 13 34 42 63 71
5 14 35 43 64 72
5 15 36 44 52 73
5 16 37 45 53 74
5 17 38 46 54 75
5 18 26 47 55 76
5 19 27 48 56 77
5 20 28 49 57 65
5 21 29 50 58 66
5 22 30 51 59 67
5 23 31 39 60 68
5 24 32 40 61 69
5 25 33 41 62 70
6 13 33 40 60 67
6 14 34 41 61 68
6 15 35 42 62 69
6 16 36 43 63 70
6 17 37 44 64 71
6 18 38 45 52 72
6 19 26 46 53 73
6 20 27 47 54 74
6 21 28 48 55 75
6 22 29 49 56 76
6 23 30 50 57 77
6 24 31 51 58 65
6 25 32 39 59 66
7 13 32 51 57 76
7 14 33 39 58 77
7 15 34 40 59 65
7 16 35 41 60 66
7 17 36 42 61 67
7 18 37 43 62 68
7 19 38 44 63 69
7 20 26 45 64 70
7 21 27 46 52 71
7 22 28 47 53 72
7 23 29 48 54 73
7 24 30 49 55 74
7 25 31 50 56 75
8 13 31 49 54 72
8 14 32 50 55 73
8 15 33 51 56 74
8 16 34 39 57 75
8 17 35 40 58 76
8 18 36 41 59 77
8 19 37 42 60 65
8 20 38 43 61 66
8 21 26 44 62 67
8 22 27 45 63 68
8 23 28 46 64 69
8 24 29 47 52 70
8 25 30 48 53 71
9 13 30 47 64 68
9 14 31 48 52 69
9 15 32 49 53 70
9 16 33 50 54 71
9 17 34 51 55 72
9 18 35 39 56 73
9 19 36 40 57 74
9 20 37 41 58 75
9 21 38 42 59 76
9 22 26 43 60 77
9 23 27 44 61 65
9 24 28 45 62 66
9 25 29 46 63 67
10 13 29 45 61 77
10 14 30 46 62 65
10 15 31 47 63 66
10 16 32 48 64 67
10 17 33 49 52 68
10 18 34 50 53 69
10 19 35 51 54 70
10 20 36 39 55 71
10 21 37 40 56 72
10 22 38 41 57 73
10 23 26 42 58 74
10 24 27 43 59 75
10 25 28 44 60 76
11 13 28 43 58 73
11 14 29 44 59 74
11 15 30 45 60 75
11 16 31 46 61 76
11 17 32 47 62 77
11 18 33 48 63 65
11 19 34 49 64 66
11 20 35 50 52 67
11 21 36 51 53 68
11 22 37 39 54 69
11 23 38 40 55 70
11 24 26 41 56 71
11 25 27 42 57 72
12 13 27 41 55 69
12 14 28 42 56 70
12 15 29 43 57 71
12 16 30 44 58 72
12 17 31 45 59 73
12 18 32 46 60 74
12 19 33 47 61 75
12 20 34 48 62 76
12 21 35 49 63 77
12 22 36 50 64 65
12 23 37 51 52 66
12 24 38 39 53 67
12 25 26 40 54 68
13 14 15 16 17 18
13 17 19 22 24 78
13 17 20 21 23 25
14 15 19 21 22 23
14 15 20 24 25 78
16 18 19 20 22 25
16 18 21 23 24 78
26 27 28 29 30 31
26 30 32 35 37 78
26 30 33 34 36 38
27 28 32 34 35 36
27 28 33 37 38 78
29 31 32 33 35 38
29 31 34 36 37 78
39 40 41 42 43 44
39 43 45 48 50 78
39 43 46 47 49 51
40 41 45 47 48 49
40 41 46 50 51 78
42 44 45 46 48 51
42 44 47 49 50 78
52 53 54 55 56 57
52 56 58 61 63 78
52 56 59 60 62 64
53 54 58 60 61 62
53 54 59 63 64 78
55 57 58 59 61 64
55 57 60 62 63 78
65 66 67 68 69 70
65 69 71 74 76 78
65 69 72 73 75 77
66 67 71 73 74 75
66 67 72 76 77 78
68 70 71 72 74 77
68 70 73 75 76 78
