0 1 2 3 4 5 6
0 1 2 3 73 75 84
0 4 5 6 7 10 84
0 4 5 6 8 9 11
0 12 24 36 48 60 72
0 13 25 37 49 61 73
0 14 26 38 50 62 74
0 15 27 39 51 63 75
0 16 28 40 52 64 76
0 17 29 41 53 65 77
0 18 30 42 54 66 78
0 19 31 43 55 67 79
0 20 32 44 56 68 80
0 21 33 45 57 69 81
0 22 34 46 58 70 82
0 23 35 47 59 71 83
1 3 7 8 9 10 11
1 3 13 15 25 27 84
1 12 25 38 58 65 78
1 13 26 39 59 60 79
1 14 27 40 54 61 80
1 15 28 41 55 62 81
1 16 29 36 56 63 82
1 17 24 37 57 64 83
1 18 31 44 52 71 72
1 19 32 45 53 66 73
1 20 33 46 48 67 74
1 21 34 47 49 68 75
1 22 35 42 50 69 76
1 23 30 43 51 70 77
2 7 8 9 10 11 84
2 12 26 37 52 69 77
2 13 27 38 53 70 72
2 14 28 39 48 71 73
2 15 29 40 49 66 74
2 16 24 41 50 67 75
2 17 25 36 51 68 76
2 18 32 43 58 63 83
2 19 33 44 59 64 78
2 20 34 45 54 65 79
2 21 35 46 55 60 80
2 22 30 47 56 61 81
2 23 31 42 57 62 82
3 12 27 46 56 62 79
3 13 28 47 57 63 80
3 14 29 42 58 64 81
3 15 24 43 59 65 82
3 16 25 44 54 60 83
3 17 26 45 55 61 78
3 18 33 40 50 68 73
3 19 34 41 51 69 74
3 20 35 36 52 70 75
3 21 30 37 53 71 76
3 22 31 38 48 66 77
3 23 32 39 49 67 72
4 12 28 45 50 70 83
4 13 29 46 51 71 78
4 14 24 47 52 66 79
4 15 25 42 53 67 80
4 16 26 43 48 68 81
4 17 27 44 49 69 82
4 18 34 39 56 64 77
4 19 35 40 57 65 72
4 20 30 41 58 60 73
4 21 31 36 59 61 74
4 22 32 37 54 62 75
4 23 33 38 55 63 76
5 12 29 47 54 67 76
5 13 24 42 55 68 77
5 14 25 43 56 69 72
5 15 26 44 57 70 73
5 16 27 45 58 71 74
5 17 28 46 59 66 75
5 18 35 41 48 61 82
5 19 30 36 49 62 83
5 20 31 37 50 63 78
5 21 32 38 51 64 79
5 22 33 39 52 65 80
5 23 34 40 53 60 81
6 12 30 39 57 68 74
6 13 31 40 58 69 75
6 14 32 41 59 70 76
6 15 33 36 54 71 77
6 16 34 37 55 66 72
6 17 35 38 56 67 73
6 18 24 45 51 62 80
6 19 25 46 52 63 81
6 20 26 47 53 64 82
6 21 27 42 48 65 83
6 22 28 43 49 60 78
6 23 29 44 50 61 79
7 12 31 41 49 64 80
7 13 32 36 50 65 81
7 14 33 37 51 60 82
7 15 34 38 52 61 83
7 16 35 39 53 62 78
7 17 30 40 48 63 79
7 18 25 47 55 70 74
7 19 26 42 56 71 75
7 20 27 43 57 66 76
7 21 28 44 58 67 77
7 22 29 45 59 68 72
7 23 24 46 54 69 73
8 12 32 40 55 71 82
8 13 33 41 56 66 83
8 14 34 36 57 67 78
8 15 35 37 58 68 79
8 16 30 38 59 69 80
8 17 31 39 54 70 81
8 18 26 46 49 65 76
8 19 27 47 50 60 77
8 20 28 42 51 61 72
8 21 29 43 52 62 73
8 22 24 44 53 63 74
8 23 25 45 48 64 75
9 12 33 43 53 61 75
9 13 34 44 48 62 76
9 14 35 45 49 63 77
9 15 30 46 50 64 72
9 16 31 47 51 65 73
9 17 32 42 52 60 74
9 18 27 37 59 67 81
9 19 28 38 54 68 82
9 20 29 39 55 69 83
9 21 24 40 56 70 78
9 22 25 41 57 71 79
9 23 26 36 58 66 80
10 12 34 42 59 63 73
10 13 35 43 54 64 74
10 14 30 44 55 65 75
10 15 31 45 56 60 76
10 16 32 46 57 61 77
10 17 33 47 58 62 72
10 18 28 36 53 69 79
10 19 29 37 48 70 80
10 20 24 38 49 71 81
10 21 25 39 50 66 82
10 22 26 40 51 67 83
10 23 27 41 52 68 78
11 12 35 44 51 66 81
11 13 30 45 52 67 82
11 14 31 46 53 68 83
11 15 32 47 48 69 78
11 16 33 42 49 70 79
11 17 34 43 50 71 80
11 18 29 38 57 60 75
11 19 24 39 58 61 76
11 20 25 40 59 62 77
11 21 26 41 54 63 72
11 22 27 36 55 64 73
11 23 28 37 56 65 74
12 13 14 15 16 17 18
12 16 17 18 19 22 84
12 16 17 18 20 21 23
13 15 19 20 21 22 23
14 19 20 21 22 23 84
24 25 26 27 28 29 30
24 28 29 30 31 34 84
24 28 29 30 32 33 35
25 27 31 32 33 34 35
26 31 32 33 34 35 84
36 37 38 39 40 41 42
36 40 41 42 43 46 84
36 40 41 42 44 45 47
37 39 43 44 45 46 47
37 39 49 51 61 63 84
38 43 44 45 46 47 84
48 49 50 51 52 53 54
48 52 53 54 55 58 84
48 52 53 54 56 57 59
49 51 55 56 57 58 59
50 55 56 57 58 59 84
60 61 62 63 64 65 66
60 64 65 66 67 70 84
60 64 65 66 68 69 71
61 63 67 68 69 70 71
62 67 68 69 70 71 84
72 73 74 75 76 77 78
72 76 77 78 79 82 84
72 76 77 78 80 81 83
73 75 79 80 81 82 83
74 79 80 81 82 83 84
